value
"Kotilääkäri : terveys, ravinto, liikunta"
Jane's defence weekly
Forum för ekonomi och teknik
Onnimanni : Suomen nuorisokirjallisuuden instituutin tiedote
Yliopisto : Helsingin yliopiston tiedotuslehti
Ilkka
Luonnon tutkija
Savon sanomat
"Kunto plus : ravinto, lääketiede, liikunta, seksi"
Satakunnan kansa
Suomen lehdistö : lehdistön ammattilehti
Kouvolan sanomat
Kulttuurivihkot
Yhteiskuntapolitiikka
Apteekkari : Suomen apteekkarilehti
Puutarha & kauppa : puutarha-alan uutis- ja ammattilehti
Filatelisti : Suomen filatelistiliitto r.y:n äänenkannattaja
Kameralehti
Skogsbruket : forstlig tidskrifts folkupplaga
Suuri käsityö
Prosessori : modernin elektroniikan ja automaation erikoislehti
Kemia
Elore
Mielenterveys
"Finsk tidskrift : kultur, ekonomi, politik"
Hyvä terveys
Sosiaalivakuutus
Viherympäristö
Finlands kommuntidning
Raahen seutu
Kauneus & terveys
Teho
Kaks'plus
Rakennuslehti
Kansantaloudellinen aikakauskirja
Meidän talo : kodin rakentajan ja kunnostajan lehti
Maatila-Pellervo
Idäntutkimus
Karjalainen
Metsä ja puu : metsätaloudellinen aikakauslehti
Lastentarha
Me naiset
Suomen eläinlääkärilehti
Nya Argus
Ympäristö
Virke : Äidinkielen opettajain liiton jäsenlehti
Ulkopolitiikka
Mikrobitti : kotimikron käyttäjän peruslehti
Yritystalous
Hifi-lehti
Tiedotustutkimus
Tähdet ja avaruus
Tekniikan maailma
Politiikka : Valtiotieteellisen yhdistyksen julkaisu
Ilmailu
Tähtivaeltaja
Tiede 2000
Sarjainfo
Lakimiesuutiset
Palkkatyöläinen : SAK:n äänenkannattaja
Kotivinkki
Sosiaalilääketieteellinen aikakauslehti
Landsbygdens folk
Diabetes
Terra : Suomen maantieteellisen seuran aikakauskirja
Kielikello : kielenhuollon tiedotuslehti
Image : elävän kulttuurin aikakauslehti
Defensor legis : Suomen asianajajaliiton äänenkannattaja
Navigator : merenkulun aikakauslehti
"Tee itse : sisustus, korjaukset, työkalut, tarvikkeet, uutuudet"
Rakennustaito : Suomen rakennusmestariliiton ammattilehti
Kehitys
Metsänhoitaja
Suomen merenkulku
Dimensio : matemaattis-luonnontieteellinen aikakauslehti
Media & viestintä
Kauneimmat käsityöt
Finlands natur : Naturskyddsföreningens i Finland årsbok
Naistutkimus
Nivala : kotiseutulehti
Ahjo
Koiramme : Suomen kennelliiton julkaisu
Ornis Fennica
Kodin Pellervo
Ketju
Diakonia
Flight international
Tiede & edistys
"Tiede : maailma, elämä, ihminen"
Bibliophilos : kirjallisuudenkerääjäin äänenkannattaja
Uusi nainen
Kide : Lapin korkeakoulun tiedotuslehti
Fysioterapia
LoA : Lantmän och andelsfolk : tidskrift för Svenska lantbrukssällskapens förbund och Finlands svenska andelsförbund
Paperi ja puu
Genos : sukutieteellinen aikakauskirja
Suomen sotilas : valtakunnallinen maanpuolustuslehti
"Tervareitti : Muhoksen, Utajärven ja Vaalan paikallislehti"
Suomenmaa : Keskustan pää-äänenkannattaja
Aikuiskasvatus
Juoksija : liikkumisen iloa
Kansan tahto
Rondo : musiikkilehti
Helsingin sanomat. Kuukausiliite
Suomen kirkkohistoriallisen seuran vuosikirja
Sairaanhoitaja
Puumies
Avotakka
Valvoja...
Kehittyvä elintarvike
Hyvinvointikatsaus : tilastollinen aikakauslehti
Pyhäjokiseutu : Pyhäjokilaakson paikallislehti
Niin & näin : filosofinen aikakauslehti
Forum 24.
"Markkinointi & mainonta : markkinoinnin, mainonnan, myynnin ja median asiantuntija"
Vauva
Arkhimedes
Ruijan kaiku : Norjan suomalainen lehti
Bike
Kuluttaja
Kurkijokelainen : kurkijokelaisen ja karjalaisen hengen vaalija ja ajankohtaisten kysymysten selvittäjä
Memoranda Societatis pro fauna et flora Fennica
Koti
Verotus : Suomen verolainsäädännön ja verotuskäytännön tuntemusta edistävä aikakausjulkaisu
Luomulehti
Vesitalous
Suomen kalastuslehti
Gerontologia : Kasvun ja vanhenemisen tutkijat ry:n julkaisu
Tanssi : tanssialan yhteisjulkaisu
Kunnallistieteellinen aikakauskirja
Merimies
Ylä-Kainuu : Hyrynsalmen-Puolangan-Suomussalmen seudun paikallislehti
Agricultural and Food Science
Silva Fennica
Työelämä : työvoimapoliittinen aikakauskirja
Dialogi : Sosiaali- ja terveyshallituksen lehti
Koetoiminta ja käytäntö
Panssari
Sukuviesti
"Pelastustieto : palo-, pelastus- ja vss-alan johtava ammattilehti"
Poromies : Suomen poronjalostusyhdistyksen ja porotalousväeston äänenkannattaja
Venäläisen käännöskirjallisuuden bibliografia vuoteen 1929 = Bibliografi över rysk litteratur i översättning fram till 1929 = Bibliography of Russian literature in translation until 1929 = Библиография русской литературы в переводах до 1929 г
Signum : kirjasto- ja tietopalvelulehti
Puutarha
Moda
Blues news : BN : afroamerikkalaisen musiikin äänenkannattaja
Entomologica Fennica
Vartija : kirkollinen kuukauslehti
Suomalainen Suomi : Suomalaisuuden liiton julkaisema kulttuuripoliittinen aikakauskirja
Rakennustekniikka
Taloustaito
Poliisi & oikeus
Meddelanden från Åbo Akademi
Pohjolan työ : pohjoissuomalainen palkansaajan uutislehti
Trädgårdsnytt : tidning för svenska trädgårdsförbundet
Janus : sosiaalipolitiikan ja sosiaalityön tutkimuksen aikakauslehti
Annales Fennici Mathematici
TM Rakennusmaailma : kodin rakentamisen ja remontoinnin erikoislehti
Koti-Kajaani : puolueeton kaupunkilehti
Suomen eläinlääkärilehti : Suomen eläinlääkäriliiton jäsenlehti
Rytmimusiikki
Kotiseutu : Suomen kotiseutututkimuksen äänenkannattaja
Eeva
Maaselkä : Haapajärven talousalueen sitoutumaton paikallislehti
"Siikajokilaakso : Siikajoen, Ruukin, Rantsilan, Kestilän, Pyhännän, Piippolan ja Pulkkilan paikallislehti"
Socius : sosiaali- ja terveyspoliittinen aikakauslehti
Valmentaja : huippu-urheilun asiantuntija
Teatteri&tanssi+sirkus : esittävien taiteiden aikakauslehti
Kumppani : Kehitysyhteistyön palvelukeskuksen (Kepa) neljästi vuodessa ilmestyvä tiedotus- ja keskustelulehti
Luonnonsuojelija : Suomen luonnonsuojeluliiton jäsenlehti
Voima ja käyttö : julkaisu koneenkäyttöä ja käyttötaloutta varten
Sábmelaš : olggosâddujuvvom Sami čuvgetusseärvvi jâ Samii lihtu toaimmast
Arvopaperi : Osakesäästäjien keskusliiton äänenkannattaja
Metsätieteen aikakauskirja
Missionsstandaret : Finlands svenska baptistmissions och dess ungdomsförbunds tidning
Seura
Muoto
Keräilyuutiset : vapaa filateelinen mielipidelehti
Kylkirauta
Energia : energia-alan aikakauslehti
MetalliTekniikka : metalliteollisuuden ammattilehti
Informaatiotutkimus
Aromi-lehti : suurkeittiö & ravintola
Perusta
"Ultra : kerran kuukaudessa ilmestyvä aikakauslehti, joka kertoo inhimillisen tiedon rajoilla olevista asioista"
Kansanopisto : kansanopistoväen äänenkannattaja
"Huippu-urheilu-uutiset : pika-aitajuoksujen, heittojen sekä hyppyjen ja moniottelujen valmennusjulkaisu"
Työeläke : Eläketurvakeskuksen julkaisu
International defense review
Puhelin
Suomen postimerkkilehti
Svenskbygden : organ för finlandssvenskt bildningsarbete
Tidskrift utgiven av Juridiska föreningen i Finland
IT. Invalidityö
Arctos : acta philologica fennica
Elintarvike ja terveys : elintarvikehygienian ja ympäristöterveydenhuollon ammattilehti
Tempus
Pirta : Kalevalaisten naisten liiton jäsenlehti
Suomen autolehti : Suomen Autokorjaamoiden Liitto r.y:n ja Suomen autoteknikkojen liitto r.y:n virallinen äänenkannattaja
Tiede & edistys : Tutkijaliiton aikakauslehti
Kehittyvä kauppa
Futura
Migration-Muuttoliike
Maito ja me
Books from Finland
Finnisch-ugrische Forschungen : Zeitschrift für finnisch-ugrische Sprach- und Volkskunde
"Tieto & trendit : talous, yhteiskunta, ympäristö"
Nuori Karjala : Laatokan-Karjalan vapaan kansansivistystyön lehti
Taito : käsi- ja taideteollisuuslehti
Journalisti
Vanhustyö
Oikeus
Demari : poliittinen uutislehti
Martha
Kristosofi
Terra
Kulttuuritutkimus
Tiedepolitiikka : Edistyksellinen tiedeliitto ry:n julkaisu
Voi hyvin
Aika
KM vet : kotieläinten terveydenhoitolehti
Insinööriuutiset : tekniikan sanomalehti
Suomen antropologi
Tehy : Terveydenhuoltoalan ammattijärjestö Tehy ry:n äänenkannattaja
Aikuiskoulutuksen maailma
Kuntatekniikka
Ote : opetus & teknologia
Classica
"Linnut : suojelu, harrastus, tutkimus"
Tulenkantajat : kahdesti kuussa ilmestyvä aikakauslehti
Nauta : Suomen kotieläinjalostusosuuskunnan jäsenjulkaisu
Liitto
Apu
Nuorisotyö
Inferno magazine : Inferno ry:n virallinen jäsenlehti
Logistiikka
Takoja : antroposofinen kulttuurilehti
Transport news : idänkaupan ja logistiikan erikoisjulkaisu
Raahelainen : puolueista riippumaton aluelehti
Matkalehti : loma- & liikematkailun erikoislehti
Tuuloksen joulu
Maku : kotikokkaajan ruokalehti
Tilisanomat : yritystalouden ja laskennan ammattilehti
Museo : Suomen museoliiton julkaisu
Ortodoksinen kulttuuri
Työelämän tutkimus
Hallinnon Tutkimus
Siirtolaisuus
Rannikon puolustaja : RtUY:n tiedonantolehti
Tammerkoski
Peili : elokuva-ja televisiokasvatuslehti
Hallinnon tutkimus
Lapset ja yhteiskunta
Sydän : Suomen sydäntautiliiton julkaisu
Haaste : asiantuntevasti rikoksentorjunnasta ja kriminaalipolitiikasta
Hauhon joulu
Sika : Suomen kotieläinjalostusyhdistyksen jäsenjulkaisu
Lakimies : Suomalaisen lakimiesyhdistyksen aikakauskirja
Siivoussektori
Ajolinja : ammattikuljettajien erikoislehti
Lammin kotiseutulehti
Uutispäivä Demari
Språkbruk
Virikkeitä : Suomen nuortenkirjaneuvosto ry:n julkaisu
Finnish music quarterly
Tyyris Tyllerö
Suomen urheilulehti
Glorian antiikki
Viherpiha
Hallinto : valtiovarainministeriön järjestelyosaston julkaisu
United States Naval Institute proceedings
Hoitotiede
Musiikin suunta : Suomen etnomusikologinen seura ry:n julkaisema musiikkialan tieteellinen mielipidelehti
Skärgård : tidskrift utgiven av skärgårdsinstitutet vid Åbo Akademi
Unesco-kuriiri
Mobilisti : vanhojen ajoneuvojen harrastajille
Sosialinen aikakauskirja
Iijokiseutu
Form function Finland
Arsis
Sananjalka : Suomen kielen seuran vuosikirja
Synteesi : Suomen taidekasvatuksen tutkimusseura ry:n ja Jyväskylän yliopiston taidekasvatuksen laitoksen julkaisu
Ammattikasvatuksen aikakauskirja
Eläinmaailma
Edilex
Sienilehti
Kritiikin uutiset
Nuorten luonto
Korkeakoulutieto
Spektri : Opetushallituksen tiedote
Studia Orientalia Electronica
Janakkala ennen ja nyt : Janakkala-seuran julkaisu
Tabu : lääkeinformaatiota Lääkelaitokselta
Kirjallisuudentutkimuksen aikakauslehti Avain
Tekniikka & talous : sanomalehti elinkeinoelämän päättäjille
Geologi
Teologinen Aikakauskirja
Terveys : terveyttä koteihin
Uudistuva konttori : konttorialan aikakauslehti
Resonans : språkrör för Finlands svenska sång- och musikförbund r.f
Fillari : polkupyöräilyn erikoislehti
Valokuva
Annales zoologici Fennici
Tilintarkastus : laskentatoimi
Yhdyskuntasuunnittelu
Nuorisotutkimus
Latu ja polku : kunto- ja virkistysliikunnan erikoislehti
Systole : ensihoidon erikoislehti
Astra nova
