value;translated
0/Metsastysmuseo/;Suomen Metsästysmuseo, Suomen metsästysmuseo, Suomen metsästysmuseo
0/MFA/;Arkkitehtuurimuseo, Finlands arkitekturmuseum, Museum of Finnish Architecture
0/Miehikkälän kotiseutumuseo/;Miehikkälän kotiseutumuseo, Miehikkälän kotiseutumuseo, Miehikkälän kotiseutumuseo
0/mikkelinmuseot/;Mikkelin kaupungin museot, S:t Michels stadsmuseer, Mikkeli City Museums
0/Mobilia/;Mobilia, Mobilia, Mobilia
0/MPKK/;Maanpuolustuskorkeakoulu, Försvarshögskolan, National Defence University
0/Museovirasto/;Museovirasto, Museiverket, Finnish Heritage Agency
0/Naantalin  museo/;Naantalin  museo, Naantalin  museo, Naantalin  museo
0/Naantalin museo/;Naantalin museo, Nådendals museum, Naantali Museum
0/NLF/;Kansalliskirjasto, Nationalbiblioteket, The National Library
0/NRL/;Varastokirjasto, Depåbiblioteket, National Repository Library
0/Nuorisotyön tallentaja Nuoperi/;Nuorisotyön tallentaja Nuoperi, Nuorisotyön tallentaja Nuoperi, Nuorisotyön tallentaja Nuoperi
0/NurmeksenMuseo/;Nurmeksen museo, Nurmes stadsmuseum, Nurmes Town Museum
0/NURMIJARVIMUSEO/;Nurmijärven museo, Nurmijärvi museum, Nurmijärvi museum
0/OAMK/;Oulun ammattikorkeakoulun kirjasto, Oulun ammattikorkeakoulun kirjasto, Oulu University of Applied Sciences
0/Outi/;OUTI-kirjastot, OUTI-kirjastot, OUTI-kirjastot
0/Outokummun kaivosmuseo/;Outokummun kaivosmuseo, Outokumpu Gruvmuseum, Outokumpu Mining Museum
0/OY/;Oulun yliopisto, Oulun yliopisto, University of Oulu
0/Pargas hembygdsmuseum/;Pargas hembygdsmuseum, Pargas hembygdsmuseum, Pargas hembygdsmuseum
0/Pargas Hembygdsmuseum/;Pargas Hembygdsmuseum, Pargas Hembygdsmuseum, Pargas Hembygdsmuseum
0/PielisenMuseo/;Pielisen museo, Pielinens museum, Pielinen Museum
0/Piki/;PIKI-kirjastot, PIKI-biblioteken, PIKI Libraries
0/Pohjanmaan museo/;Pohjanmaan museo, Österbottens museum, Ostrobothnian Museum
0/POHJOIS-KARJALAN MUSEO/;Pohjois-Karjalan museo, Norra Karelens Museum, North Karelian Museum
0/POIKILO/;Poikilo-museot, Poikilo-museot, Poikilo Museums
0/POLAMK/;Poliisiammattikorkeakoulu, Polisyrkeshögskolan, Police University College
0/Porstua/;Porstua, Porstua, Porstua
0/Porvoonmuseo/;Porvoon museo, Borgå museum, Porvoo Museum
0/Postimuseo/;Postimuseo, Postimuseo, Postimuseo
0/pta/;Porvarillisen Työn Arkisto, Borgerliga Arbetets Arkiv, Archives of the Organizations of the National Coalition Party
0/Pukstaavi/;Suomalaisen kirjan museo Pukstaavi, Finlands bokmuseum Pukstaavi, The Museum of Finnish Book Pukstaavi
0/RAAHENMUSEO/;Raahen museo, Brahestads museum, Raahe Museum
0/RAASEPORINMUSEO/;Länsi-Uudenmaan museo, Västra Nylands museum, Länsi-Uudenmaan museo
0/Ratamo/;Ratamo-kirjastot, Ratamo-biblioteken, Ratamo Libraries
0/RAUMANMERIMUSEO/;Rauman merimuseo, Rauman merimuseo, Rauman merimuseo
0/RAUMANMUSEO/;Rauman museo, Raumo museum, Rauma Museum
0/RIIHIMAENMUSEO/;Riihimäen kaupunginmuseo, Riihimäen kaupunginmuseo, Riihimäen kaupunginmuseo
0/Ruokavirasto/;Ruokavirasto, Livsmedelsverket, Finnish Food Authority
0/Rutakko/;Rutakko-kirjastot, Rutakko-biblioteken, Rutakko Libraries
0/SA-kuva/;Sotamuseo, Krigsmuseet, Military Museum
0/Salon historiallinen museo/;Salon historiallinen museo, Salon historiallinen museo, Salon historiallinen museo
0/Salon Historiallinen Museo/;Salon Historiallinen Museo, Salon Historiallinen Museo, Salon Historiallinen Museo
0/SAMK/;Satakunnan ammattikorkeakoulu, SAMK, Satakunta University of Applied Sciences
0/sarka/;Museoraitti-museot, Finlands lantbruksmuseum Sarka, Sarka - The Finnish Museum of Agriculture
0/SastamalanMuseo/;Sastamalan seudun museo, Sastamala museum, Sastamala Museum
0/Satakirjastot/;Satakirjastot, Satakirjastot biblioteken, Satakirjastot Libraries
0/SATMUSEO/;Satakunnan Museo, Satakunta Museum, Satakunta Museum
0/SAVONIA/;Savonia-ammattikorkeakoulu, Yrkeshögskolan Savonia, Savonia University of Applied Sciences
0/SAVONLINNAMUSEO/;Riihisaari – Savonlinnan museo, Riihisaari – Nyslotts Museum, Riihisaari – Savonlinna Museum
0/SEAMK/;Seinäjoen ammattikorkeakoulu, Seinäjoen ammattikorkeakoulu, Seinäjoki University of Applied Sciences Library
0/SHH/;Svenska handelshögskolan, Svenska handelshögskolan, Svenska handelshögskolan
0/Sibeliusmuseum/;Sibelius-museo, Sibeliusmuseum, Sibelius Museum
0/SibeliusmuseumsArkiv/;Sibelius-museon arkisto, Sibeliusmuseums arkiv, Sibelius Museums archive
